courseId,courseTitle,subTitle,courseLink,courseProvider,unitSold,soldOrEnq,offerPrice,originalPrice,haveCpd,cpdAccreditedBy,haveProfQual,isRegulated,awrBodyName,awrBodyQualName,courseLevel
246720,COSHH- RoSPA and CPD accredited course,Online course with tutor support and instant downloadable certificate,https://www.reed.co.uk/courses/coshh-rospa-and-cpd-accredited-course/246720#/courses/discount?pageno=3&sortby=MostPopular,Intellelearn,103,103 students purchased this course,17.0,55.0,yes,Royal Society for the Prevention of Accidents,yes,no,Royal Society for the Prevention of Accidents,Level 2 Certificate,2.0
250681,Professional Tattoo Artist - CPD Accredited,Gain Professional Tattoo Artist skills with this CPD Accredited Course | Tutor Support | Instant Result | No hidden fees,https://www.reed.co.uk/courses/professional-tattoo-artist-cpd-accredited/250681#/courses/discount?pageno=3&sortby=MostPopular,One Education,115,115 students purchased this course,13.0,199.0,yes,CPD Accreditation Group,no,no,missing,5 CPD points / hours,missing
193218,Diploma in Health and Wellbeing ,Free E - Certificate Included | CPD & IAP Accredited | Access for 365 days | No Hidden Fee,https://www.reed.co.uk/courses/diploma-in-health-and-wellbeing/193218#/courses/discount?pageno=3&sortby=MostPopular,Global Edulink,212,212 students purchased this course,37.0,249.0,yes,The CPD Certification Service,no,no,missing,16 CPD points / hours,missing
211150,Hotel Management Course,Hotel Management (Level 7) Diploma | Endorsed by ABC Awards | CPD Accredited Certificate | 190 CPD Points/Credits,https://www.reed.co.uk/courses/hotel-management-course/211150#/courses/discount?pageno=3&sortby=MostPopular,CPD Courses,64,64 students purchased this course,29.0,1100.0,yes,ABC Awards,yes,no,ABC Awards,Level 7 Diploma Hotel Management (Certificate of achievement),7.0
260607,Safeguarding Adults and Children - Level 2 - CPD Certified Online Course,Instant Access | Includes Assessment & Certificate | UK CPD Accredited | Instant Certificate Download,https://www.reed.co.uk/courses/safeguarding-adults-and-children-level-2-cpd-certified-online-course/260607#/courses/discount?pageno=3&sortby=MostPopular,Mandatory Compliance,29,29 students purchased this course,19.99,49.99,yes,The CPD Certification Service,no,no,missing,3 CPD points / hours,missing
216953,Beauty Therapy - Course,Beauty Therapy Level 3 Certificate endorsed by ABC Awards with study materials and tutor support. ,https://www.reed.co.uk/courses/beauty-therapy-course/216953#/courses/discount?pageno=3&sortby=MostPopular,Oxford Home Study College,203,203 students purchased this course,10.0,380.0,no,ABC Awards,yes,no,ABC Awards,Level 3 Certificate Beauty Therapy (Certificate of Achievement),3.0
266388,Certificate In Childcare & Nannying - Level 3,Recognised Accredited Qualification| Endorsed Certificate | Certified Unit Summery|,https://www.reed.co.uk/courses/certificate-in-childcare-nannying-level-3/266388#/courses/discount?pageno=3&sortby=MostPopular,Study365,23,23 students purchased this course,12.0,79.0,no,ABC Awards,yes,no,ABC Awards,Level 3 Certificate In Childcare & Nannying,3.0
226377,Crystal Healing Course - CPD Certified,Accredited Online Course | Recognised Certificate Included | Unlimited 24/7 Lifetime Access |Special Offer,https://www.reed.co.uk/courses/crystal-healing-course-cpd-certified/226377#/courses/discount?pageno=3&sortby=MostPopular,International Open Academy,155,155 students purchased this course,10.0,99.0,yes,The CPD Certification Service,no,no,missing,30 CPD points / hours,missing
227018,HR Management,HR Management Level 5 Advanced Diploma Endorsed by ABC Awards | Tutor Support  & Assessments included in Course Price,https://www.reed.co.uk/courses/hr-management/227018#/courses/discount?pageno=3&sortby=MostPopular,Brentwood Open learning College,451,451 students purchased this course,10.0,760.0,no,ABC Awards,yes,no,ABC Awards,Level 5 Diploma HR Management (Certificate of Achievement),5.0
229786,Teaching Assistant CACHE Level 2 **FULL QUALIFICATION**,Train to teach - Get Qualified - NCFE & CACHE Level 2 - Accepted by Ofstead,https://www.reed.co.uk/courses/teaching-assistant-cache-level-2-full-qualification/229786#/courses/discount?pageno=3&sortby=MostPopular,Careers Advice & Learning  Centre,0,411 students enquired about this course,195.0,375.0,no,Ofqual,yes,yes,"Council for Awards in Care, Health and Education",Level 2 Award in Support Work in Schools (QCF),2.0
269748,ECDL,NEW 2020 ECDL,https://www.reed.co.uk/courses/ecdl/269748#/courses/discount?pageno=3&sortby=MostPopular,e-courses4you,15,15 students purchased this course,10.0,399.99,no,"BCS, The Chartered Institute for IT",yes,no,"BCS, The Chartered Institute for IT",Level 2 ECDL Certificate in IT Application Skills (QCF),2.0
238076,Lettings Negotiator Diploma Level 3 - CPD Accredited,CPD Accredited Lettings Negotiator Course | Full Tutor Support | Instant Result | No hidden fees,https://www.reed.co.uk/courses/lettings-negotiator-diploma-level-3-cpd-accredited/238076#/courses/discount?pageno=3&sortby=MostPopular,One Education,164,164 students purchased this course,17.0,199.0,yes,CPD Accreditation Group,no,no,missing,10 CPD points / hours,missing
238284,Health and Social Care Level 3 Certification Course - CPD Accredited,Exam Included . CPD Accredited Qualification . Lifetime access . Immediate Result,https://www.reed.co.uk/courses/health-and-social-care-level-3-certification-course-cpd-accredited/238284#/courses/discount?pageno=3&sortby=MostPopular,Course Gate,99,99 students purchased this course,23.0,175.0,yes,CPD Accreditation Group,no,no,missing,7 CPD points / hours,missing
