courseId,courseTitle,courseProvider,rankChanged
192809,Safeguarding Children Level 3 – Online Training Course – CPD Certified,Imperium Edge,-4.0
228405,Soft Skills Course,UK Professional Development Academy LTD,1.0
126334,Microsoft Office 2016,1 Training,-2.0
131490,Digital Marketing and Advertising,1 Training,-6.0
259675,Health and Safety,Inspire London College Ltd,-13.0
228102,Management,Oxford Home Study College,1.0
238857,Diploma in Graphic Design,Course Gate,-7.0
110601,Hairdressing Masterclass (NVQ Level 1 & 2 Equivalent) ,OfCourse,-14.0
266429,Certificate in General Electrical – Level 3,Study365,-5.0
207170,Manual Handling,ECHO3 EDUCATION LIMITED,18.0
264321,First Aid at Work,Training Express Ltd,5.0
250529,Business Analysis,Brentwood Open learning College,-2.0
199348,QUALIFI Level 3 Diploma in Health and Social Care,"School of Business, London",-11.0
260405,Child Psychology Level 5 Advanced Diploma + Advanced Diploma in Child Care,Course Gate,1.0
268591,Executive PA,CPD Courses,45.0
268592,PA - Personal Assistant Course,CPD Courses,50.0
242435,Safeguarding Children Level 3 Designated Safeguarding Lead DSL,EMAGINATION TRAINING,-37.0
230346,Diploma in Professional Chef - CPD Certified,Janets,-13.0
237185,PRINCE2® Foundation,Study365,11.0
78737,Sports Agent Course - CPD Certified,International Open Academy,6.0
78787,Bar Management - CPD Certified,Eventtrix,25.0
214124,Tarot Card Reading Certificate – CPD Accredited,Be-a.co.uk,2.0
267072,"Admin, Secretarial & PA - Course",CPD Courses,12.0
196354,Care Certificate - Online Training Courses - 15 Care Certificate Standards ,Mandatory Compliance,-6.0
198018,Business Administration,CPD Courses,-3.0
219285,Personal Trainer Diploma,Harley Oxford,3.0
76377,Dog Grooming - CPD Certified,Holly and Hugo,-16.0
76996,Animal Care - CPD Certified - Certificate Included,Holly and Hugo,5.0
241409,Social Media Marketing for Business,Course Gate,-12.0
245632,COSHH Training for Assessors - CPD Accredited,One Education,-3.0
245329,Animal Care Diploma - 6 CPD Accredited Courses ,International Open Academy,7.0
197605,Logistics Management,CPD Courses,-11.0
264315,Food Hygiene and Safety Level 2,Training Express Ltd,new
268176,GDPR Course,CPD Courses,31.0
78433,British Sign Language (BSL) Level 1 & 2,OfCourse,-10.0
79638,Payroll Management and Systems Diploma - CPD Certified,Be-a.co.uk,-2.0
186946,Painting and Decorating Diploma - CPD Accredited ,Be-a.co.uk,4.0
250244,Level 3 Certificate in Assessing Vocational Achievement (CAVA) (RQF) – A1 Assessors Award,One Education,5.0
237831,Eyelash Extension Training Course,One Education,new
238940,Advanced Diploma in Health and Safety,Course Gate,-20.0
240110,Basic Electricity Course - CPD Accredited,Course Gate,-4.0
222934,Accounting,Brentwood Open learning College,12.0
226079,Mandatory Training for Domiciliary & Care Staff - 26 CPD Certified E-Learning Courses ,Mandatory Compliance,6.0
68336,"English: Improve Your English – Spelling, Punctuation & Grammar",OfCourse,6.0
77054,Forensic Science - CPD Certified,International Open Academy,6.0
259793,Certified Anti Money Laundering Specialist (CAMS) - CPD Certified,Janets,-23.0
262614,Data Protection GDPR ,Active Recruitment Ltd,6.0
245132,Project Management : Six Sigma ,Brentwood Open learning College,24.0
245662,Phlebotomist Training,One Education,new
224161,Nursing Assistant Diploma ,1 Training,-11.0
230747,Bookkeeping - Book keeping Course,CPD Courses,-6.0
131489,Office Admin and Receptionist Skills,1 Training,-4.0
250392,Portable Appliance Testing (PAT) - CPD Accredited,One Education,-1.0
