courseId,courseTitle,subTitle,courseLink,courseProvider,unitSold,soldOrEnq,offerPrice,originalPrice,haveCpd,cpdAccreditedBy,haveProfQual,isRegulated
140784,"Microsoft Excel Complete Course - Beginner, Intermediate & Advanced- CPD ",Student Discount Card Eligible | Lifetime Access | Online certified training |Online certificate and exam included,https://www.reed.co.uk/courses/microsoft-excel-complete-course-beginner-intermediate-advanced-cpd/140784#/courses/discount?sortby=MostPopular,Be-a.co.uk,11628,"11,628 students purchased this course",29.0,597.0,yes,The CPD Certification Service,no,no
162300,Food Hygiene Course - Level 2 ,"ROSPA Accredited, Institute of Hospitality Endorsed, CPD and Local Authority Approved",https://www.reed.co.uk/courses/food-hygiene-course-level-2/162300#/courses/discount?sortby=MostPopular,The Training Terminal,4497,"4,497 students purchased this course",12.0,30.0,no,missing,no,no
197897,Project Management Course,Project Management Diploma Level 5 Endorsed by ABC Awards | CPD Accredited Certificate | 120 CPD Points,https://www.reed.co.uk/courses/project-management-course/197897#/courses/discount?sortby=MostPopular,CPD Courses,1586,"1,586 students purchased this course",10.0,760.0,yes,ABC Awards,yes,no
266620,Leadership & Management,Leadership & Management Level 7 | Endorsed by ABC Awards | 150 CPD Points | CPD Accredited Certificate,https://www.reed.co.uk/courses/leadership-management/266620#/courses/discount?sortby=MostPopular,CPD Courses,606,606 students purchased this course,10.0,1050.0,yes,ABC Awards,yes,no
228586,"Teaching Assistant Complete Course (TA, SEN, Autism, ADHD & Dyslexia) - CPD Certified",CPD approved training provider II Certificate Included II Become a Teaching Assistant,https://www.reed.co.uk/courses/teaching-assistant-complete-course-ta-sen-autism-adhd-dyslexia-cpd-certified/228586#/courses/discount?sortby=MostPopular,Janets,1709,"1,709 students purchased this course",10.0,1479.0,yes,The CPD Group,no,no
188840,Basic Food Hygiene Certificate - Also known as Food Safety Level 2  ,"ROSPA Accredited, Institute of Hospitality Endorsed, CPD and Local Authority Approved",https://www.reed.co.uk/courses/basic-food-hygiene-certificate-also-known-as-food-safety-level-2/188840#/courses/discount?sortby=MostPopular,The Training Terminal,1917,"1,917 students purchased this course",12.0,30.0,no,missing,no,no
228135,Office Administration,Exam Included in Price | CPD & IAP Accredited | Free Career Support Service | Unlimited 12 months access,https://www.reed.co.uk/courses/office-administration/228135#/courses/discount?sortby=MostPopular,1 Training,1388,"1,388 students purchased this course",10.0,399.0,yes,The CPD Certification Service,no,no
210657,Office Admin and Reception Skills,Exam Included in Price | CPD & IAP Accredited | Free Career Support Service | Unlimited 12 months access,https://www.reed.co.uk/courses/office-admin-and-reception-skills/210657#/courses/discount?sortby=MostPopular,1 Training,781,781 students purchased this course,10.0,349.0,yes,The CPD Certification Service,no,no
77566,Classroom Behaviour Management Course - Level 3 CPD Accredited ,Summary,https://www.reed.co.uk/courses/classroom-behaviour-management-course-level-3-cpd-accredited/77566#/courses/discount?sortby=MostPopular,Oplex Careers,226,226 students purchased this course,19.0,249.99,yes,The CPD Certification Service,no,no
247537,Microsoft Excel,"Microsoft Excel (TQUK Endorsed) complete course including essentials, advanced and expert level.",https://www.reed.co.uk/courses/microsoft-excel/247537#/courses/discount?sortby=MostPopular,Inspire London College Ltd,397,397 students purchased this course,10.0,595.0,no,Training Qualifications UK Ltd,yes,no
98276,Project Management ,Project Management Diploma (Level 7) | Endorsed by ABC Awards | Tutor Support and Assessments included in Course Price,https://www.reed.co.uk/courses/project-management/98276#/courses/discount?sortby=MostPopular,Oxford Home Study College,519,519 students purchased this course,15.0,1050.0,no,ABC Awards,yes,no
227506,Child Psychology - Level 5 ,Child Psychology Advanced Diploma Endorsed by ABC Awards I tutor support and assessments included in this price,https://www.reed.co.uk/courses/child-psychology-level-5/227506#/courses/discount?sortby=MostPopular,Oxford Home Study College,1230,"1,230 students purchased this course",10.0,740.0,no,ABC Awards,yes,no
234929,Car Mechanic Training,Level 3 Endorsed Diploma by TQUK | 15 CPD Points I MCQ Based Assessment | Full Tutor Support | Instant Result,https://www.reed.co.uk/courses/car-mechanic-training/234929#/courses/discount?sortby=MostPopular,One Education,1462,"1,462 students purchased this course",14.0,199.0,yes,Training Qualifications UK Ltd,yes,no
229553,Xero Accounting and Bookkeeping Course,CPD approved training provider II Certificate Included,https://www.reed.co.uk/courses/xero-accounting-and-bookkeeping-course/229553#/courses/discount?sortby=MostPopular,Janets,1336,"1,336 students purchased this course",14.0,289.0,yes,CPD Accreditation Group,no,no
51553,CACHE Level 3 Teaching Assistant Qualification (RQF) & SEN - *Recognised Qualification*,Accepted in ALL Schools | Government Regulated | OFSTED Approved,https://www.reed.co.uk/courses/cache-level-3-teaching-assistant-qualification-rqf-sen-recognised-qualification/51553#/courses/discount?sortby=MostPopular,The Learning College,0,"7,139 students enquired about this course",215.0,499.0,no,Ofqual,yes,yes
227973,Sage 50 Payroll Complete Course - CPD Certified,CPD Certified  Payroll Training | Recognised Certificate Included | Unlimited 24/7 Access | Become a Payroll Manager,https://www.reed.co.uk/courses/sage-50-payroll-complete-course-cpd-certified/227973#/courses/discount?sortby=MostPopular,Janets,2100,"2,100 students purchased this course",10.0,279.0,yes,The CPD Group,no,no
197943,Teaching Assistant,Teaching Assistant Level 5 Advanced Diploma. Endorsed by ABC Awards | CPD Accredited Certificate | 70 CPD Points,https://www.reed.co.uk/courses/teaching-assistant/197943#/courses/discount?sortby=MostPopular,CPD Courses,706,706 students purchased this course,10.0,760.0,yes,ABC Awards,yes,no
247335,Cyber Security,Cyber Security Diploma Level 5 Endorsed by ABC Awards | Tutor Support and Assessments included in the Course Price,https://www.reed.co.uk/courses/cyber-security/247335#/courses/discount?sortby=MostPopular,Brentwood Open learning College,1310,"1,310 students purchased this course",10.0,760.0,no,ABC Awards,yes,no
