courseId,courseTitle,courseLink,courseProvider,unitSold,soldOrEnq,offerPrice,originalPrice,haveCpd,haveProfQual,isRegulated,awrBodyName,awrBodyQualName
266528,Certificate in Child Care and Early Learning – Level 3,https://www.reed.co.uk/courses/certificate-in-child-care-and-early-learning--level-3/266528#/courses/discount?sortby=MostPopular,Study365,144,144 students purchased this course,12.0,79.0,no,yes,no,ABC Awards,Level 3 Diploma In Childcare and early learning
197943,Teaching Assistant,https://www.reed.co.uk/courses/teaching-assistant/197943#/courses/discount?sortby=MostPopular,CPD Courses,679,679 students purchased this course,10.0,760.0,yes,yes,no,ABC Awards,Level 5 Diploma Teaching Assistant (Endorsed Certificate)
77763,Estate Agent Diploma Level 3 - CPD Certified,https://www.reed.co.uk/courses/estate-agent-diploma-level-3-cpd-certified/77763#/courses/discount?sortby=MostPopular,Be-a.co.uk,0,"4,914 students purchased this course",44.0,299.0,yes,no,no,missing,missing
97418,Diet and Nutrition Advanced Diploma Level 5,https://www.reed.co.uk/courses/diet-and-nutrition-advanced-diploma-level-5/97418#/courses/discount?sortby=MostPopular,Brentwood Open learning College,0,"1,072 students purchased this course",10.0,760.0,no,yes,no,ABC Awards,Level 5 Diploma in Nutrition (Certificate of Achievement)
24314,PRINCE2® Foundation & Practitioner with both Exams (Award-Winning Course),https://www.reed.co.uk/courses/prince2-foundation-practitioner-with-both-exams-award-winning-course/24314#/courses/discount?sortby=MostPopular,e-Careers,0,"7,085 students enquired about this course",495.0,845.0,no,yes,no,Axelos (accredited by PEOPLECERT),PRINCE2® Foundation & Practitioner
233863,120 hours TEFL (TESOL) Masterclass - CPD Accredited ,https://www.reed.co.uk/courses/120-hours-tefl-tesol-masterclass-cpd-accredited/233863#/courses/discount?sortby=MostPopular,One Education,650,650 students purchased this course,10.0,199.0,yes,no,no,missing,missing
211146,Train the Trainer,https://www.reed.co.uk/courses/train-the-trainer/211146#/courses/discount?sortby=MostPopular,CPD Courses,401,401 students purchased this course,10.0,760.0,yes,yes,no,ABC Awards,Level 5 Diploma Train the Trainer  (Certificate of achievement)
266270,Leadership & Management,https://www.reed.co.uk/courses/leadership-management/266270#/courses/discount?sortby=MostPopular,Inspire London College Ltd,232,232 students purchased this course,10.0,995.0,no,yes,no,Training Qualifications UK Ltd,Level 7 Diploma in Leadership & Management (Endorsed Diploma)
187744,Make-Up Artistry Course (Professional Make Up Artist)  - CPD Certified ,https://www.reed.co.uk/courses/make-up-artistry-course-professional-make-up-artist-cpd-certified/187744#/courses/discount?sortby=MostPopular,International Open Academy,473,473 students purchased this course,12.0,299.0,yes,no,no,missing,missing
238184,Diploma in Social Work Studies - Level 3,https://www.reed.co.uk/courses/diploma-in-social-work-studies-level-3/238184#/courses/discount?sortby=MostPopular,1 Training,335,335 students purchased this course,10.0,399.0,yes,no,no,missing,missing
